Type,PU Volt,Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Gen Mvar(max),Gen Mvar(min)
1,1,0,3.94749,1.14276,0,0,0,
3,0.833769,-22.4047,0,0,8,2.8,0,
2,1.05,-0.594897,5.2,3.37475,0.8,0.4,4,-2.8,
3,1.0193,-2.83187,0,0,0,0,0,
3,0.97429,-4.54682,0,0,0,0,0,
